0	z iy r ow
SEVENTY ONE	S EH V AH N T IY W AH N
SEVENTY TWO	S EH V AH N T IY T UW
SEVENTY THREE	S EH V AH N T IY TH R IY
SEVENTY FOUR	S EH V AH N T IY F AO R
SEVENTY FIVE	S EH V AH N T IY F AY V
SEVENTY SIX	S EH V AH N T IY S IH K S
SEVENTY SEVEN	S EH V AH N T IY S EH V AH N
SEVENTY EIGHT	S EH V AH N T IY EY T
SEVENTY NINE	S EH V AH N T IY N AY N
EIGHTY	EY T IY
EIGHTY ONE	EY T IY W AH N
EIGHTY TWO	EY T IY T UW
EIGHTY THREE	EY T IY TH R IY
EIGHTY FOUR	EY T IY F AO R
EIGHTY FIVE	EY T IY F AY V
EIGHTY SIX	EY T IY S IH K S
EIGHTY SEVEN	EY T IY S EH V AH N
EIGHTY EIGHT	EY T IY EY T
EIGHTY NINE	EY T IY N AY N
NINETY	N AY N T IY
NINETY ONE	N AY N T IY W AH N
NINETY TWO	N AY N T IY T UW
NINETY THREE	N AY N T IY TH R IY
NINETY FOUR	N AY N T IY F AO R
NINETY FIVE	N AY N T IY F AY V
NINETY SIX	N AY N T IY S IH K S
NINETY SEVEN	N AY N T IY S EH V AH N
NINETY EIGHT	N AY N T IY EY T
NINETY NINE	N AY N T IY N AY N
ONE HUNDRED	W AH N HH AH N D R AH D
TWO HUNDRED	T UW HH AH N D R AH D
ONE THOUSAND	W AH N TH AW Z AH N D
TWO THOUSAND	T UW TH AW Z AH N D
ONE HUNDRED THOUSANDS	W AH N HH AH N D R AH D TH AW Z AH N D Z
ONE MILLION	W AH N M IH L Y AH N
TWO MILLION	T UW M IH L Y AH N
TEN MILLION	T EH N M IH L Y AH N
ONE HUNDRED MILLION	W AH N HH AH N D R AH D M IH L Y AH N
ONE BILLION	W AH N B IH L Y AH N
TEN BILLION	T EH N B IH L Y AH N
ONE HUNDRED BILLION	W AH N HH AH N D R AH D B IH L Y AH N
ONE TRILLION	W AH N T R IH L Y AH N

A	ah
A(2)	eh
B	bi
C	ci
D	di
E	ei
F	ef
G	gi
H	heh tch
I	ai
J	dje
K	kei
L	el
M	em
N	en
O	ou
P	pi
Q	kju
R	ar
S	es
T	ti
U	ju
V	vi
W	double ju
X	eks
Y	wai
Z	zee

a	ah
a(2)	ey
b	b iy
c	s iy
d	d iy
e	iy
f	eh f
g	jh iy
h	ey ch
I	ay
j	jh ey
k	k ey
l	eh l
m	eh m
n	eh n
o	ow
p	p iy
q	k y uw
r	aa r
s	eh s
t	t iy
u	y uw
v	v iy
w	d ah b ah l y uw
x	eh k s
y	w ay
z	z iy


a
A
aa
aabadi
aad
aadmi
aag
aagah
aage
aagey
aaghaz
aai
aaiye
aaj
aajah
aakhir
aakhri
aala
aalishaan
aalmi
aam
aamajgah
aamdni
aanar
aane
aangan
aankh
aankhen
aankhn
aankhon
aansoo
aap
aarr
aarzi
aasaan
aashiq
aasra
aath
aathwan
aathwien
aati
aatsheen
aaur
aawaz
aaya
aazh
aazmayen
ab
abad
abao
abdozen
abdulhai
abhi
abid
abiyana
abjad
able
about
abrar
abro
abrro
absaar
abshar
abu
abwaab
abzaror
accent
accident
acha
achai
achambe
achanak
achat
achay
ache
achey
achi
achievement
acid
actually
ada
adab
adad
adaegi
adakaraein
adakaraon
adal
adalt
adam
adayigyon
adde
added
additional
addo
address
adeebon
ADF
adha
adhay
adhi
adhoora
adjust
adliya
admi
advanced
adventure
advertising
advice
advisery
advocate
adwiyaat
ae
aeen
AF
Afadah
afeem
afford
afghan
afiyon
afkar
Afoo
afra
afraad
afrad
afrahs
afreedi
afreen
afro
afsaney
afshan
afsoosnaak
afsos
afsurda
after
afwaaj
afzaish
afzal
afzan
afzodgi
afzon
again
agar
agarchay
agawah
agay
agencies
agencion
agency
agha
aghosh
aghraaz
aghwa
aghyar
aglay
agli
ago
ahaam
ahal
aham
AHC
ahelkar
ahem
ahista
ahiya
ahl
ahliat
ahmed
ahsan
ahtamaam
ahwaal
ai
aib
aids
aiese
aik
ailaan
ain
ainda
air
airhi
aisa
aisay
aisi
aisiayon
aitamat
aitaraf
aitebar
aizaaz
aj
ajar
ajdad
ajdaha
ajeeb
ajnabiyon
ajsaam
ajza
AKA
akhand
akhar
akhbaar
akhlaqi
akhondzadah
akhooat
akhri
akhrot
akhruzaman
Akhtar
akmiyon
akram
aks
aksariyat
alam
alamiye
alci
alehda
aleo
alete
alfaaz
alhaaj
ali
alif
alikum
all
ALL
allah
Allah
allah-haafiz
allah-hafiz
allahhafiz
Allah-hafiz
allama
allowance
almost
aloocha
alood
aloodgi
alphabet
alphabets
already
alright
ALS
also
alvi
alvida
always
am
amad
amal
aman
amarta
ambulance
amdani
ameeq
america
americy
amezey
amezish
amin
amjad
amlan
amli
ammi
amna
amratsari
amrohi
amrood
an
ana
anaari
and
andaaz
andar
andha
andhe
andhere
andheron
andhiyan
Andia
Aneeq
anees
anesthesia
angal
angekht
anglo
angoor
angrezi
angrezon
angusht
animated
anjaam
anjuman
ankhen
ankhon
anklosr
anokhe
anokhi
another
ansuon
anwar
anxiety
any
ao
aoga
aogay
aogi
aot
ap
apealen
aphara
apka
apki
apko
apna
apnay
apnaye
apne
apni
apologizing
app
applications
appointment
april
aproach
apsay
apsub
aqa
aqalmandi
aqaon
Aqeel
aqliyaton
aqubat
aqwam
arab
arabic
araha
arahe
archives
ARD
ardasht
are
area
arha
arhai
arhe
arhsath
arhttaliis
arhttis
arjumand
arkaan
Armghan
aroo
array
arrhhtalis
arrhtaliis
arrhtalis
arrhtees
arrhtiis
arrow
arsa
arsaal
arsath
arsey
Arshad
artees
arthopedic
arthro
arti
artillery
arzan
arzi
arzoo
arzuan
as
asaan
asaani
asal
asalam
asar
asghar
ashaar
ashaat
ashab
ashad
ashes
ashfaaq
ashibad
ashiya
ashiyana
ashjar
ashna
ashob
Ashraf
ashram
ashrey
ashron
ashur
asia
asian
asiayi
asjad
aslah
aslaha
aslam
asloob
asmaan
assalamualaikum
Assalamualaikum
assason
assi
assistant
Aswad
at
ata
atalwi
atay
ath
athaara
athaiis
athais
athanve
athanway
athara
athasath
athasi
athassi
athattar
athawan
athelete
atheletes
atheletics
athhanve
athl
athon
atishbazi
atishzadgi
atth
atthaiis
atthara
atthattar
atthawan
audio
august
auhda
auj
aujhal
aukha
aulaad
aulto
aun
auqaat
auqarib
aur
aurat
aurhe
aurhna
aurluaab
aurn
aurung
aushra
aust
australvi
authority
auzaar
avenue
avisi
AVM
awaam
awaaz
awakhir
awal
awaleen
award
awareness
awaz
awazen
aweza
awri
Awsaf
axean
aya
ayaan
ayada
ayadat
ayashi
aye
ayein
ayen
ayes
ayloyt
ayoobi
aythrnit
ayyam
az
azaab
azaad
azaaz
azadi
azala
azam
azan
azdawaji
azeez
azhar
Aziz
azlaa
b
B
ba
baa
baab
baach
baad
baafton
baag
baagh
baais
baam
baanj
baaqi
baar
baaraan
baare
baarey
baarish
baarr
baasol
baat
baaz
baazo
baazuon
bacha
bachao
bachaya
bachayen
bachcho
bache
bachen
bachi
bachiyan
bachiyon
bachne
bachney
bacholor
bachon
bachoo
bachre
bachri
bachron
back
bad
badal
badaye
badchalni
badget
badhaane
badikhlaqi
badkhoo
badlay
badlein
badlo
badmazgi
badrooh
badshah
badsoorat
badzan
baees
baggage
baggi
bagha
baghaawat
baghair
baghalgeer
baghar
baghawat
baghbani
bagheecha
baghion
baghiyana
baghoon
baghor
bags
bahaar
bahao
bahar
ba-hasiat
bahattar
bahayen
baheera
bahen
bahir
bahon
bahu
baichnay
baig
baigam
baiis
bail
bailcha
bails
baingen
bairooni
bais
baisaakhi
baithtay
baize
baizvi
baja
bajanwari
bajaye
bajen
bajra
bajuz
bajwa
bakaya
bakhabar
bakhair
bakher
bakhernay
bakhidmat
bakhoobi
bakhsh
bakhshay
bakhshe
bakhsheen
bakhshi
bakhshish
bakhsho
bakir
baldeati
balgham
baligh
balighaan
balighon
balkay
balke
balkey
balochi
balochon
baloongre
balouch
ban
bana
banae
banafshi
banai
banana
banane
banaya
banaye
banayen
banayi
band
bandhen
bandne
bandok
bandooq
bane
banein
banen
bang
bangali
bangla
bangle
bank
Bano
banori
bansuri
baohar
baphray
baqaya
baqiya
baqol
bar
bara
barabar
barafbari
baran
baras
barasne
bardaar
bardasht
bare
bareazam
bareazeem
bareesh
barh
barha
barhaein
barhaun
barhawa
barhaya
barhayi
barhen
barhotri
bari
barkhilaf
baron
baronq
barori
baroz
barqarar
barra
barrage
barri
Barsare
barsata
barson
bartan
Bartanwi
bartfi
barwan
barwe
baryaat
bas
basa
basar
basath
basayen
basement
basen
bashaash
bashaoor
basheer
bashindon
bashmool
basic
basiyar
basson
bata
bataatey
batadreej
bataein
bataiye
batakhon
batao
bataoun
batata
batati
bataun
bataya
batayen
batees
bathein
bathne
bathoo
batorta
battiis
baundry
bawaa
bawajood
bawan
bawaqte
bawarchi
bayaan
bayan
bayana
bayein
baynh
bayyan
bazahir
bazeecha
baziyab
bazoq
bazor
bbureaucracy
bchu
bdhali
bdlah
be
beasar
bebaaq
because
bechare
bechen
becheni
bechey
bed
bedaar
bedaari
bedroom
beech
beecho
beef
beej
beejon
beekh
bees
beeswien
beewiyon
before
begum
behad
behaj
behan
behar
behas
behasta
behbood
behnoi
behooda
behosh
behse
behson
beht
behtar
behtareen
behtari
beizzati
beje
beju
bekason
belche
belon
belt
bemaari
benaat
bench
beopar
bera
berey
berriyan
besan
beshtar
best
besud
beth
betha
bethak
bethe
bethein
bethi
betho
beti
beuro
bewah
bewaqat
bewaqoof
bey
beyaliis
beyanve
beyogan
bezaar
BFT
BGP
bhaag
bhaal
bhaari
bhabhi
bhaddi
bhaen
bhagdar
bhagoron
bhai
bhaid
bhaij
bhaiyon
bhajjan
bhala
bhangra
bhangre
bhanje
bhanon
bhanp
bhao
bhar
bharak
bharas
bharat
bhare
bhari
bharosa
bharta
bharti
bhase
bhasha
bhasm
bhawaj
bhayanak
bheegy
bheel
bheem
bhej
bheja
bheje
bhejen
bheji
bhejnay
bheldar
bhenga
bhens
bhent
bhenten
bherain
bherhaye
bherhon
bheriya
bheriye
bhervi
bhetun
bhi
bhigo
bhigoyen
bhijwa
bhikar
bhina
bhindi
bhinsin
bhirh
bhiron
bhjwayin
bhojhpoori
bhola
bhonchal
bhondi
bhool
bhoolen
bhooliye
bhoolna
bhoolo
bhoomi
bhoond
bhoora
bhoore
bhoosa
bhoose
bhoot
bhot
bhrani
bhsin
bhugti
bhujhai
bhujne
bhulaya
bhurbhuri
bhutto
biallah
biassi
bich
bicha
bichane
bichar
bichaye
biche
bichi
bichona
big
bigarh
bigarne
bigger
bigren
bijlee
bike
bikhre
bikhri
bil
bila
bilkhushoos
bilkul
billi
billion
billon
Bilower
binaula
biological
bios
bird
bistar
bit
bitchrha
bitha
biwi
biyanwe
bl
bla
blakhof
bleech
blgrami
block
blocking
blooghat
bloos
board
boarder
bobby
bochar
body
bogus
bohat
bohraan
boi
boklahat
bol
bola
bolan
bole
bolein
boli
bolnay
bolo
bolun
bomb
bono
bonus
boo
boojh
boojho
boom
boorha
boorhay
boorhi
borhoon
boriyat
bos
bosan
bosniyai
both
bowing
bowler
bowleron
bowling
box
boy
boya
boye
boyen
boys
brabar
brahmin
bravo
breathlizer
bridge
briefing
brigade
brigadier
broad
broccoli
browser
brush
bua
BUA
budakta
buddhi
budh
budha
budhe
budhu
buffer
bugat
Bughdadi
bughz
buhat
builder
builders
building
bujey
bujhane
bujhi
bukhari
bulaa
Bulaa
buland
bulbul
buldoze
bulldozer
bulldozeron
bunun
bunyadi
buqa
bureaucrats
burhaape
burhan
burhiya
buri
bus
bush
business
buss
but
buzdil
buzurag
buzurgwaar
by
byaliis
byassi
c
C
café
cahnd
cahva
calcium
caliing
call
called
calling
calls
came
camp
can
canadian
cannot
carbon
card
career
careful
carefully
cario
case
cases
cason
cataract
catch
cell
cellulite
center
centre
centuriyan
century
CH
chaabi
chaaq
chaaqoo
chaar
chaashni
chaba
chabbis
chabees
chabri
chach
chacha
chachak
chachar
chachoo
chad
chadda
chaddar
chaeanve
chaeyalis
chaharam
chahe
chahen
chahiye
chahte
chahti
chahun
chai
chaichen
chair
chairag
chairman
chaiyan
chaka
chakandar
chakhen
chako
chal
chala
chalay
chalaye
chalayen
chale
chalees
chalein
chaleiye
chaley
chalgozay
chalis
chalk
challan
challenge
challenges
chalne
chalo
chalta
chalti
chalun
chamach
chaman
chamcha
chamchay
champ
champion
champions
chamra
chamrre
chan
chand
changa
changesmain
changeziassembly
channel
chant
chaoni
chaonia
chappan
chapwayin
char
charagha
charaney
charh
charha
charhao
chari
charity
chase
chashm
chasing
chassis
chatiis
chattis
chaubiis
chaubis
chauda
chaudhrain
chaudhry
chauhattar
chauhatter
chaunsath
chauntees
chauntiis
chauntis
chauranve
chaurassi
chawal
chawalees
chawaliis
chawalis
chawwan
chaya
chaye
check
ched
cheekh
cheekhain
cheekhnay
cheel
cheelne
cheema
cheen
cheeni
cheenke
cheer
cheerh
cheet
cheethrey
cheez
cheezen
cheharon
chehchahahat
chehlum
cher
chest
chewing
chey
chhabbis
chhabiis
chhae
chhaehattar
chhaeyaliis
chhaeyasath
chhaeyassi
chhairnay
chhapa
chhappan
chharryan
chhatees
chhehatar
chheyanway
chhoyin
chief
chiefs
chihal
chilchelati
child
chilh
chilkay
chilkha
chimte
china
chineyoti
chirak
chirchira
chirchire
chirh
chiriya
chirne
chirriyon
Chishti
choband
chobees
choda
chodah
choden
chohaan
chohe
choice
chokhat
chole
cholesterol
cholika
chon
chonchle
chond
chongi
chonka
chonsath
chontees
choohon
choolhe
choom
choonke
choosne
chor
chora
chorangi
choreographer
chori
choriyan
chorne
choron
chorr
chorru
chota
chotay
chote
chotha
chothe
chothi
choti
choup
choze
chozon
chromosome
chua
chubh
chubhne
chughli
chughni
chughtai
chugne
chuhaare
chuiya
chuka
chuke
chum
chunanche
chundhiya
chungal
chup
chُup
chupa
churail
churane
church
churi
churra
churri
chust
chuti
chutiyan
chutti
chuye
chyaseevein
ciggerette
cinema
city
civic
civil
civilian
claim
clashan
classes
clear
clearance
clearing
cloning
close
cnic
CNIC
coach
coaching
coachon
code
college
colleges
collegon
colon
colony
com
combination
come
comedy
comes
comission
comitee
commissionaire
communist
community
comodore
companion
company
comparing
complain
computerized
conferecon
conference
confirm
confuse
confused
confusing
confusion
congress
consocioum
contact
continue
continues
contract
control
convention
convince
convocation
co-ordinator
co-orporation
corolla
correctly
cosmos
couch
couchwan
councelate
counceller
council
counter
counting
county
coure
courier
course
coverage
crash
crore
crushing
culture
cultus
cuncil
cup
curfew
cuz
CV9234
cyberpedia
cycle
d
D
D100254
daagh
daaghne
daakhlon
daakhuon
daal
daalen
daalnay
daalne
daam
daar
dabaiye
dabao
dabaya
dabaye
dabayiye
dabb
dabba
dabeez
dabo
daboch
dachka
dada
dadi
daed
dafa
dafan
daffa
daftar
dagar
dagha
daghdar
daghe
daha
dahai
dahi
dahindgaan
daihatsu
daily
daj
dakhal
dakhil
dakhla
dakhlon
dal
dalne
dalte
dalun
dam
dance
dang
danish
Danishwer
danshmndanh
dansho
dao
dar
daraaz
darakhshan
darakht
darare
dard
dareeche
daregh
darh
dari
darj
darjan
darje
darjon
darkhor
darkhwast
darmiyaan
darmiyan
darmyana
daromadar
daron
darri
dars
darsgah
darsgahon
dar-ul-khilafa
daryaft
daryaon
das
dash
dasht
dass
dastaan
dastawizaat
dastawizi
daswein
date
daud
daudi
daulat
daunga
daur
dauraa
david
dawa
dawaon
dawon
dawood
day
dayanatdar
dayen
dboyin
ddaal
ddal
ddosre
de
dead
deal
death
debacha
debachay
debate
debit
december
decleration
deegar
deen
deewaar
defence
dega
degchi
degree
dehaan
dehal
dehation
dehelvi
dehla
dehli
dehshat
dein
dekh
dekha
dekhe
dekhein
dekhen
dekhi
dekhieye
dekhin
dekhiye
dekhne
dekho
dekhte
dekhun
dekna
delusion
demo
den
dena
dene
dental
deo
deoband
deobandi
deodaas
deorri
depend
depression
der
dereena
derh
derhe
derichoon
desert
desh
desi
design
desk
dessighneron
deta
dete
detey
deti
developer
development
devi
dewel
dey
deya
deyna
dhaa
dhaal
dhaar
dhab
dhabbay
dhabe
dhage
dhai
dhajiyan
dhal
dhalak
dhamaka
dhamka
dhamkaa
dhamkaanay
dhamki
dhanche
dhandhora
dhandli
dhang
dhaniya
dhanmp
dhar
dhara
dharale
dharam
dharay
dharhein
dhari
dhars
dhay
dheemi
dheere
dhele
dhenchu
dher
dhinga
dho
dhobi
dhohar
dhol
dhondh
dhoneke
dhonk
dhooan
dhooen
dhool
dhoom
dhooni
dhoop
dhoya
dhoye
dhul
dhunden
dhundh
dhuwen
di
diagram
dictation
did
didnt
difaa
difference
different
difficult
digital
dijye
dikha
dikhavay
dikhaya
dikhaye
dikhayen
dikhayi
dikhla
dikhne
dil
dilbardashtah
dilchaspi
dilfareb
dilivery
diljoi
dilkharash
dilly
dilnasheen
dilon
dilron
dilruba
dilshaad
dilsozi
dilwaun
dimaagh
dimaghi
dimand
din
dinn
dino
dinosaurs
dinoun
diplomacy
direct
director
dirham
disaster
discharge
discovery
district
division
divisional
diya
diye
do
dobaara
dobara
dochar
doctor
dodhel
dodiyan
dodron
doem
doesnt
dog
dogana
dogar
doghla
doghli
dogjle
dohraane
dohraya
doje
dol
dollar
domain
domestic
Don
doners
dono
dont
doob
doobhar
doodh
doodhiya
doodiya
door
doorbeen
doorras
doosri
doosron
dopehar
doraan
dorah
doranay
doraniye
doren
dorey
dorne
dosheeza
dosra
dosray
dost
dosti
dot
dots
double
doun
down
dozakh
draamdat
drama
draoni
drawing
drill
driving
drop
drustagi
dua
duaiya
duaon
duayen
dugna
dukh
dukhen
dukhi
dukhon
dukhtar
dulha
dulhan
dum
dun
dung
duniya
duniyavi
dunya
dur
duroood
durust
dus
dushman
dushwaar
dusray
dutch
dyomalain
e
E
eaanat
each
eagles
ease
easier
easiest
easy
edhawck
education
ee
eeden
eefa
eendhan
eesaar
effect
effort
ehal
ehle
ehliya
ehsaan
ehsaas
ehtijaj
eid
eight
eighteen
eighty
eik
ejaz
Ejaz
ek
eki
elchi
election
electronics
elementary
eleven
email
embassy
emergency
emergengy
end
engine
Engine
engineer
english
engro
enihsaar
enlish
enough
eone
eqaan
equity
european
Europi
evening
event
everybody
everyone
ewaan
examiner
example
excellent
exchange
exclusiv
exclusive
excuses
executive
exit
extra
eyri
f
F
f396172
F6563
faal
faash
fabrics
facebook
faida
fairy
faisla
faislay
faislon
faith
faiz
Faiz
faizan
fajar
fajir
fakar
fakhar
fakhra
falak
falalain
falan
fall
falsafay
fame
family
familyof
famous
fan
faogh
faqeer
faragh
faraham
farahum
faraiz
farawan
fareb
fareeqain
farigh
fariq
farkhanda
Farkhi
farm
farmaa
farmaaya
farmaiye
farmaya
farogdasht
farokht
farooq
farosh
farsi
farsooda
farwayen
farz
fasal
fashion
faslein
faslen
fast
fastest
fat
fata
fatahyaab
faug
faugon
fauj
faujdari
faujein
faujion
fauri
favourite
fawaid
fayaz
Fayazi
fazal
fazeelat
feature
february
federal
federation
feedr
fees
feesad
feesen
feeson
fehash
fehrist
fellen
fellow
ferozan
fesla
few
fey
fhrstin
fi
fian
fida
fidrishnz
field
fifteen
fifty
figaar
fikar
fikro
fikron
film
filmon
filsaaz
finally
finance
fiqhi
fiqre
firdous
fire
firqa
first
firt
fishaar
fisher
fishing
fitness
five
flag
flesh
fletcher
flood
floor
flu
foam
focus
folad
folder
followan
food
fool
foot
foqiat
for
foran
force
forced
forest
forex
forget
formulay
forty
forum
forward
foster
fouji
founation
fountain
four
fourteen
franceesy
french
friend
friendly
friends
from
fughan
fujoor
fun
funds
fungus
funoon
fuqdaan
furqaan
future
fuyuz
fuzool
g
g]
G
g18
ga
gaaf
gaam
gaari
gada
gadget
gadha
gadhe
gadhi
gadho
gadri
gae
gage
gaggan
gah
gai
gaini
gajjar
gale
gallery
galliyon
game
games
gand
gandum
ganga
gangoli
gangs
gangstar
gao
gaon
garage
garaj
garamjoshi
garavari
garbarh
gardan
gardani
gardish
gardoghubar
gardzi
gargharahat
garh
garha
garhon
gari
gariyaan
garland
garma
garmi
garohon
garveeda
gasein
gasht
gaske
gath
gatha
gay
gaya
gayara
gayarah
gayarhavi
gaye
gayeen
gayen
gayeon
gayi
gaz
gdrie
ge
gear
geedar
geer
gehar
gehma
gehmi
gehra
gehre
gehun
gende
gene
general
generation
generic
genuine
geo
geography
geometery
george
germany
get
GH
gha
ghaao
ghaas
ghabban
ghaddar
ghadood
ghaeen
ghafil
ghaflat
ghagra
ghaib
ghail
ghain
ghair
ghairat
ghairqanooni
ghairrasmi
ghaiz
ghalat
ghalib
gham
ghambeer
ghambir
ghaneri
ghanghor
ghanni
ghanta
ghante
ghanton
ghar
gharare
ghareeb
gharelu
ghari
ghariyon
gharmiyon
gharon
gharriyan
ghasab
ghaseet
ghashi
ghata
ghaur
ghauz
ghayab
ghayyur
ghazai
ghazal
ghazlen
ghazliyaat
ghazlon
Ghazwah
ghee
gherey
ghessu
ghhor
ghilaaf
ghina
ghinaona
ghinaone
ghinn
ghirao
ghire
ghissa
ghiya
ghiza
ghizaon
ghogha
ghol
ghoo
ghoom
ghoongat
ghoont
ghoor
ghoorne
ghoost
ghor
ghoray
ghos
ghot
ghse
ghubar
ghuchon
ghufoor
ghuh
ghul
ghulaam
ghulail
ghullen
ghumman
ghunghroo
ghungreyalu
ghunna
ghunodghi
ghuriya
ghusna
ghusnay
ghuss
ghuthlian
gi
gidh
gift
giga
gillani
ginvate
gira
giraday
giraftaar
giraftar
giraha
giran
girana
girankaddar
girgira
girhen
giri
girl
girlfriend
girls
girnay
girun
give
giya
glacier
glishyr
globle
gloves
glycerine
go
goat
gobar
god
godaaz
godi
godown
goh
gohar
going
gojar
gol
golai
gold
goldrwi
golf
goli
golon
gond
gonna
goo
good
google
goondhen
