0	Z IY R OW
AAKHRI	AA K R IY
AALA	AA L AH
AALISHAAN	AH L IH SH EY AH N
AALMI	AA L M IY
AAM	AA M
AAMAJGAH	AH M AE JH AH
AAMDNI	AA M D N IY
AANAR	AA N AH R
AANE	AA N
AANGAN	AA N G AH N
AANKH	AA NG K
AANKHEN	AA NG K AH N
AANKHN	AA NG K N
AANKHON	AA NG K AH N
AANSOO	AA N S UW
AAP	AA P
AARR	AA R
AARZI	AA R Z IY
AASAAN	AA S EY AH N
AASHIQ	AA SH AH K
AASRA	AA Z R AH
AATH	AA TH
AATHWAN	AA TH W AH N
AATHWIEN	AA TH W IY AH N
AATI	AA T IY
AATSHEEN	AA T IY AH N
AAUR	AA AH R
AAWAZ	AA W AH Z
AAYA	AA AY AH
AAZH	AA Z
AAZMAYEN	AA Z M EY AH N
AB	AE B
ABAD	AH B AA D
ABAO	AE B EY OW
ABDOZEN	AE B D AH Z AH N
ABDULHAI	AE B D AH L HH EY
ABHI	AE B HH IY
ABID	EY B IH D
ABIYANA	EY B IY AY AH N AH
ABJAD	AE B AH D
ABLE	EY B AH L
ABOUT	AH B AW T
ABRAR	AE B R AH R
ABRO	AE B R OW
ABRRO	AE B R OW
ABSAAR	AE B S EY AH R
ABSHAR	AE B SH AH R
ABU	AE B UW
ABWAAB	AE B W AH B
ABZAROR	AE B Z AH R AH R
ACCENT	AH K S EH N T
ACCENT(2)	AE K S EH N T
ACCIDENT	AE K S AH D AH N T
ACHA	AE CH AH
ACHAI	AE CH EY
ACHAMBE	AE CH AH M
ACHANAK	AE CH AH N AH K
ACHAT	AH CH AE T
ACHAY	AE CH EY IY
ACHE	EY K
ACHEY	AE CH IY
ACHI	AE CH IY
ACHIEVEMENT	AH CH IY V M AH N T
ACID	AE S AH D
ACTUALLY	AE K CH UW AH L IY
ACTUALLY(2)	AE K CH L IY
ACTUALLY(3)	AE K SH AH L IY
ADA	EY D AH
ADAB	AH D AE B
ADAD	AH D AE D
ADAEGI	AH D IY JH IY
ADAKARAEIN	AE D AH K AE R IY AH N
ADAKARAON	AE D AH K AE R EY AH N
ADAL	EY D AH L
ADALT	AE D AH L T
ADAM	AE D AH M
ADAYIGYON	AE D EY IH JH AY AH N
ADDE	AE D
ADDED	AE D IH D
ADDITIONAL	AH D IH SH AH N AH L
ADDO	AE D OW
ADDRESS	AE D R EH S
ADEEBON	EY D IY B AH N
ADHA	AE D HH AH
ADHAY	AE D HH EY IY
ADHI	AE D HH IY
ADHOORA	AE D HH AH R AH
ADJUST	AH JH AH S T
ADLIYA	AE D L IY AY AH
ADMI	AE D M IY
ADVANCED	AH D V AE N S T
ADVENTURE	AE D V EH N CH ER
ADVENTURE(2)	AH D V EH N CH ER
ADVERTISING	AE D V ER T AY Z IH NG
ADVICE	AE D V AY S
ADVICE(2)	AH D V AY S
ADVISERY	AH D V AY Z AH R IY
ADVOCATE	AE D V AH K AH T
ADVOCATE(2)	AE D V AH K EY T
ADWIYAAT	AE D W IY AY AH T
AE	EY
AEEN	EH AH N
AFADAH	AE F AH D AH
AFEEM	EY F IY M
AFFORD	AH F AO R D
AFGHAN	AE F G AE N
AFIYON	EY F IY AY AH N
AFKAR	AE F AH R
AFOO	AE F UW
AFRAAD	AE F R AH D
AFRAD	AE F R AH D
AFRAHS	AE F R AH Z
AFREEDI	AE F R AH D IY
AFREEN	AE F R IY AH N
AFRO	AE F R OW
AFSANEY	AE F S EY N IY
AFSHAN	AE F AH N
AFSOOSNAAK	AE F S UW Z N AH K
AFSOS	AE F S AH Z
AFSURDA	AE F S AH R D AH
AFTER	AE F T ER
AFWAAJ	AE F W AH JH
AFZAISH	AE F Z EY AH SH
AFZAL	AE F Z AH L
AFZAN	AE F Z AH N
AFZODGI	AE F Z AA JH IY
AFZON	AE F Z AH N
AGAIN	AH G EH N
AGAIN(2)	AH G EY N
AGAR	EY G ER
AGARCHAY	AH G AA R K EY IY
AGAWAH	AE G AH AH
AGAY	AH G EY
AGENCIES	EY JH AH N S IY Z
AGENCION	EY JH AH N S IY AH N
AGENCY	EY JH AH N S IY
AGHA	AE AH
AGHOSH	AE AH SH
AGHRAAZ	AE R AH Z
AGHWA	AE W AH
AGHYAR	AE AY AH R
AGLAY	AE G L EY IY
AGLI	AE G L IY
AGO	AH G OW
AHAAM	AE HH AH M
AHAL	AE AH L
AHAM	AH HH AE M
AHC	AE K
AHELKAR	AH HH EH L K AH R
AHEM	AH HH EH M
AHISTA	AH HH IH S T AH
AHIYA	AH HH IY AY AH
AHL	AA L
AHLIAT	AE L IY AH T
AHMED	AA M AH D
AHMED(2)	AA M EH D
AHSAN	AE Z AH N
AHTAMAAM	AE T AH M AH M
AHWAAL	AE W EY AH L
AI	AY
AI(2)	EY AY
AIB	EY B
AIDS	EY D Z
AIESE	EY IY Z
AIK	EY K
AILAAN	EY L EY AH N
AIN	AH IH N
AINDA	EY N D AH
AIR	EH R
AIRHI	AE AH R IY
AISA	AY IY S AH
AISAY	EY S EY IY
AISI	EY S IY
AISIAYON	EY S IY EY AH N
AITAMAT	EY T AH M AH T
AITARAF	EY T AH R AH F
AITEBAR	EY T AH B AH R
AIZAAZ	EY Z AH Z
AJ	AE JH
AJAR	AH JH AA R
AJDAD	AE JH D AH D
AJDAHA	AE JH D AH HH AH
AJEEB	EY JH IY B
AJNABIYON	AE JH N AH B IY AY AH N
AJSAAM	AE JH S AH M
AJZA	AE JH Z AH
AKHAND	AE K AH N D
AKHAR	AE K AH R
AKHBAAR	AE K B EY AH R
AKHLAQI	AE K L AH K IY
AKHONDZADAH	AE K AA N D Z AH D AH
AKHOOAT	AE K UW AH T
AKHRI	AE K R IY
AKHROT	AE K R AH T
AKHRUZAMAN	AE K R UW Z AH M AH N
AKHTAR	AE K T ER
AKMIYON	AE K M IY AY AH N
AKRAM	AE K R AH M
AKS	AE K S
AKSARIYAT	AE K S AH R IY AY AH T
ALAM	AH L AE M
ALAMIYE	AH L EY M IY AY
ALCI	AE L S IY
ALEHDA	AE L AH D AH
ALEO	AA L IY OW
ALETE	AH L IY T
ALFAAZ	AE L F AH Z
ALHAAJ	AE L HH AH JH
ALI	AA L IY
ALIF	AE L AH F
ALIKUM	AE L AH K AH M
ALL	AO L
ALLAH	AA L AH
ALLAH	AA L AH
ALLAH-HAAFIZ	AA L AH HH AA F AH Z
ALLAH-HAFIZ	AA L AH HH AE F AH Z
ALLAHHAFIZ	AE L AE HH AH F AH Z
ALLAH-HAFIZ	AA L AH HH AE F AH Z
ALLAMA	AE L AH M AH
ALLOWANCE	AH L AW AH N S
ALMOST	AO L M OW S T
ALOOCHA	AH L UW CH AH
ALOOD	AH L UW D
ALOODGI	AH L UW JH IY
ALPHABET	AE L F AH B EH T
ALPHABETS	AE L F AH B EH T S
ALREADY	AO L R EH D IY
ALREADY(2)	AO R EH D IY
ALRIGHT	AO L R AY T
ALSO	AO L S OW
ALVI	AE L V IY
ALVIDA	AE L V AH D AH
ALWAYS	AO L W EY Z
ALWAYS(2)	AO L W IY Z
AM	AE M
AM(2)	EY EH M
AMAD	AH M AE D
AMAL	AH M AA L
AMAN	AA M AH N
AMARTA	AH M AA R T AH
AMBULANCE	AE M B Y AH L AH N S
AMDANI	AE M D AH N IY
AMEEQ	EY M IY K
AMERICA	AH M EH R IH K AH
AMERICY	AH M IH ER IH K S N IY
AMEZEY	AH M IY Z IY
AMEZISH	AE M AH Z AH SH
AMIN	AA M IY N
AMJAD	AE M JH AH D
AMLAN	AE M L AH N
AMLI	AE M L IY
AMMI	AE M IY
AMNA	AE M N AH
AMRATSARI	AE M R AE T S AH R IY
AMROHI	AE M R AH HH IY
AMROOD	AE M R UW D
AN	AE N
AN(2)	AH N
ANA	AA N AH
ANA(2)	AE N AH
ANAARI	AE N AH R IY
AND	AH N D
AND(2)	AE N D
ANDAAZ	AE N D AH Z
ANDAR	AE N D AH R
ANDHA	AE N D HH AH
ANDHE	AE N D HH
ANDHERE	AE N D HH AH R
ANDHERON	AE N D HH AH R AH N
ANDHIYAN	AE N D HH IY AY AH N
ANDIA	AE N D IY AH
ANEEQ	EY N IY K
ANEES	EY N IY Z
ANESTHESIA	AE N IH S TH IY ZH IY AH
ANGEKHT	AE N JH AH K T
ANGLO	AE NG G L OW
ANGOOR	AE N G OW AH R
ANGREZI	AE N G R AH Z IY
ANGREZON	AE N G R AH Z AH N
ANGUSHT	AE N G AH SH T
ANIMATED	AE N AH M EY T IH D
ANJAAM	AE N JH AH M
ANJUMAN	AE N JH UW M AH N
ANKHEN	AE NG K AH N
ANKHON	AE NG K AH N
ANKLOSR	AE NG K L AH Z R
ANOKHE	AE N AH K
ANOKHI	AH N AA K IY
ANOTHER	AH N AH DH ER
ANSUON	AE N S UW W AH N
ANWAR	AE N W AA R
ANWAR(2)	AA N W AA R
ANXIETY	AE NG Z AY AH T IY
ANY	EH N IY
AO	EY OW
AOGA	EY AH G AH
AOGAY	EY AA G EY IY
AOGI	EY AH JH IY
AOT	EY AH T
AP	AE P
APEALEN	AH P IY L AH N
APHARA	AE F AH R AH
APKA	AE P AH
APKI	AE P IY
APKO	AE P OW
APNA	AE P N AH
APNAY	AE P N EY IY
APNAYE	AE P N EY
APNE	AE P N
APNI	AE P N IY
APP	AE P
APPLICATIONS	AE P L AH K EY SH AH N Z
APPOINTMENT	AH P OY N T M AH N T
APRIL	EY P R AH L
APROACH	AE P R OW CH
APSAY	AE P S EY IY
APSUB	AE P S AH B
AQA	AE K AH
AQALMANDI	AE K AH L M AE N D IY
AQAON	AE K EY AH N
AQEEL	AH K IY L
AQLIYATON	AE K L IY AY AH T AH N
AQUBAT	AE K W B AH T
AQWAM	AE K W AH M
ARAB	AE R AH B
ARAB(2)	EY R AH B
ARABIC	AE R AH B IH K
ARABIC(2)	EH R AH B IH K
ARAHA	AE R AH HH AH
ARAHE	AE R AH HH
ARCHIVES	AA R K AY V Z
ARDASHT	AA R D AH SH T
ARE	AA R
ARE(2)	ER
AREA	EH R IY AH
ARHA	AA R AH
ARHAI	AA R EY
ARHE	AA R
ARHSATH	AA R S AH TH
ARHTTALIIS	AA R T EY L IY AH S
ARHTTIS	AA R T AH S
ARJUMAND	AA R JH UW M AH N D
ARKAAN	AA R K EY AH N
ARMGHAN	AA R M AH N
AROO	AE R UW
ARRAY	ER EY
ARRHHTALIS	AE R HH T AH L AH S
ARRHTALIIS	AE R T EY L IY AH S
ARRHTALIS	AE R T AH L AH S
ARRHTEES	AE R T IY Z
ARRHTIIS	AE R T IY AH S
ARROW	AE R OW
ARROW(2)	EH R OW
ARSA	AA R S AH
ARSAAL	AA R S EY AH L
ARSATH	AA R S AH TH
ARSEY	AA R Z IY
ARSHAD	AA R SH AH D
ARTEES	AA R T IY Z
ARTHOPEDIC	AA R T HH OW P T IH K
ARTHRO	AA R TH R OW
ARTI	AA R T IY
ARTILLERY	AA R T IH L ER IY
ARZAN	AA R Z AH N
ARZI	AA R Z IY
ARZOO	AA R Z UW
ARZUAN	AA R Z UW W AH N
AS	AE Z
AS(2)	EH Z
ASAAN	AE S EY AH N
ASAANI	AE S AH N IY
ASAL	AH Z AH L
ASALAM	AH Z AH L AE M
ASAR	AH Z ER
ASGHAR	AE Z AH R
ASHAAR	AE SH EY AH R
ASHAAT	AE SH AH T
ASHAB	AE SH AH B
ASHAD	AE SH AH D
ASHES	AE SH IH Z
ASHFAAQ	AE SH AH K
ASHIBAD	AE SH AH B AH D
ASHIYA	AH SH IY AY AH
ASHIYANA	AE SH IY AY AH N AH
ASHJAR	AE SH JH AA R
ASHNA	AE SH N AH
ASHOB	AH Z HH AA B
ASHRAF	AE SH R AH F
ASHRAM	AE SH R AE M
ASHREY	AE SH R IY
ASHRON	AE SH R AH N
ASHUR	AE SH ER
ASIA	EY ZH AH
ASIAN	EY ZH AH N
ASIAYI	EY S IY EY IY
ASJAD	AE Z AH D
ASLAH	AE Z L AH
ASLAHA	AE Z L AH HH AH
ASLAM	AH S L AE M
ASLOOB	AE Z L UW B
ASMAAN	AE Z M EY AH N
ASSALAMUALAIKUM	AE S AH L AE M Y UW AH L EY K AH M
ASSALAMUALAIKUM	AE S AH L AE M Y UW AH L EY K AH M
ASSASON	AE S AH S AH N
ASSI	AE S IY
ASSISTANT	AH S IH S T AH N T
ASWAD	AH Z W AA D
AT	AE T
ATA	AA T AH
ATALWI	AH T AE L W IY
ATAY	AE T EY IY
ATH	AE TH
ATHAARA	AE TH AH R AH
ATHAIIS	AE TH EY AH S
ATHAIS	AE TH EY AH S
ATHANVE	AE TH AH N V
ATHANWAY	AH TH AE N W EY IY
ATHARA	AE TH AH R AH
ATHASATH	AE TH AH S AH TH
ATHASI	AE TH AH S IY
ATHASSI	AH TH AE S IY
ATHATTAR	AH TH AE T AH R
ATHAWAN	AE TH AH AH N
ATHELETE	AE TH AH L IY T
ATHELETES	AE TH AH L IY T S
ATHELETICS	AH TH EH L AH T AH S Z
ATHHANVE	AE TH AH N V
ATHL	AE TH L
ATHON	AE TH AH N
ATISHBAZI	AH T IH SH B AH Z IY
ATISHZADGI	AE T AH SH Z AE JH IY
ATTH	AE T TH
ATTHAIIS	AE T TH EY AH S
ATTHARA	AE T TH AH R AH
ATTHATTAR	AE T TH AE T AH R
ATTHAWAN	AE T TH AH AH N
AUDIO	AA D IY OW
AUGUST	AA G AH S T
AUGUST(2)	AO G AH S T
AUHDA	AO D AH
AUJ	AO JH
AUJHAL	AO JH AH L
AUKHA	AO K AH
AULAAD	AO L AH D
AULTO	AO L T OW
AUN	AO N
AUQAAT	AO K AH T
AUQARIB	AO K AH R AH B
AUR	AO R
AURAT	AO R AH T
AURHE	AO R
AURHNA	AO R N AH
AURLUAAB	AO R L UW W AH B
AURN	AH ER N
AURUNG	AO R AH NG
AUSHRA	AO SH R AH
AUST	AO S T
AUSTRALVI	AO S T R AE L V IY
AUTHORITY	AH TH AO R AH T IY
AUZAAR	AO Z EY AH R
AVENUE	AE V AH N UW
AVISI	AE V AH S IY
AVM	AE V M
AWAAM	AO AH M
AWAAZ	AO AH Z
AWAKHIR	AO AE K AH R
AWAL	AO AH L
AWALEEN	AH W EY L AH N
AWARD	AH W AO R D
AWARENESS	AH W EH R N AH S
AWAZ	AO AH Z
AWAZEN	AO AH Z AH N
AWEZA	AO AH Z AH
AWRI	AO R IY
AWSAF	AO S AH F
AXEAN	AE K S AH N
AYA	EY AH
AYAAN	EY EY AH N
AYADA	EY AH D AH
AYADAT	EY AH D AH T
AYASHI	EY AH SH IY
AYE	AY
AYEIN	EY IY N
AYEN	AH Y EH N
AYES	AY Z
AYLOYT	EY L OY T
AYOOBI	EY AH B IY
AYTHRNIT	EY TH R N AH T
AYYAM	EY AY AH M
AZ	AE Z
AZAAB	AE Z AH B
AZAAD	AE Z AH D
AZAAZ	AE Z AH Z
AZADI	AE Z AH D IY
AZALA	AE Z AH L AH
AZAM	AE Z AH M
AZAN	EY Z AH N
AZDAWAJI	AE Z D AO AH JH IY
AZEEZ	EY Z IY Z
AZHAR	AH Z AA R
AZIZ	AH Z IY Z
AZLAA	AE Z L AH
B	B IY
B	B IY
BA	B AA
BAA	B AA
BAAB	B AA B
BAACH	B AA CH
BAAD	B AA D
BAAFTON	B AA F T AH N
BAAG	B AA G
BAAGH	B AA
BAAIS	B AA AH S
BAAM	B AA M
BAANJ	B AA N JH
BAAQI	B AA K IY
BAAR	B AA R
BAARAAN	B AA R EY AH N
BAARE	B AA R
BAAREY	B AA R IY
BAARISH	B AA R AH SH
BAARR	B AA R
BAASOL	B AA S AH L
BAAT	B AA T
BAAZ	B AA Z
BAAZO	B AA Z OW
BAAZUON	B AH Z UW W AH N
BACHA	B AE CH AH
BACHAO	B AE CH EY OW
BACHAYA	B AE CH EY AH
BACHAYEN	B AE CH EY AH N
BACHCHO	B AE CH OW
BACHE	B AE CH
BACHE(2)	B EY CH
BACHEN	B AE CH AH N
BACHI	B AE CH IY
BACHIYAN	B AH CH IY AY AH N
BACHIYON	B AH CH IY AY AH N
BACHNE	B AE K N
BACHNEY	B AE K N IY
BACHOLOR	B AE CH AH L AH R
BACHON	B AE CH AH N
BACHOO	B AE CH UW
BACHRE	B AE K R
BACHRI	B AE K R IY
BACHRON	B AE K R AH N
BACK	B AE K
BAD	B AE D
BADAL	B EY D AH L
BADAYE	B AE D EY
BADCHALNI	B AE D CH AE L N IY
BADGET	B AE D G EH T
BADHAANE	B AE D HH AH N
BADIKHLAQI	B AH D IH K L AH K IY
BADKHOO	B AE D K HH UW
BADLAY	B AE D L EY
BADLEIN	B AE D L IY N
BADLO	B AE D L OW
BADMAZGI	B AE D M AE Z IY
BADROOH	B AE D R UW
BADSHAH	B AE D SH AA
BADSOORAT	B AE D S AH R AH T
BADZAN	B AE D Z AH N
BAEES	B IY Z
BAGGAGE	B AE G IH JH
BAGGI	B AE JH IY
BAGHA	B AE AH
BAGHAAWAT	B AE AH W AH T
BAGHAIR	B AE G HH EH R
BAGHALGEER	B AE AH L JH IH R
BAGHAR	B AE AH R
BAGHAWAT	B AE AH AH T
BAGHBANI	B AE B AH N IY
BAGHEECHA	B AE IY CH AH
BAGHION	B AE IY AH N
BAGHIYANA	B AE IY AY AH N AH
BAGHOON	B AE UW N
BAGHOR	B AE AH R
BAGS	B AE G Z
BAHAAR	B AE HH EY AH R
BAHAO	B AE HH EY OW
BAHAR	B AE AH R
BA-HASIAT	B AA HH EY S IY AH T
BAHATTAR	B AH HH AE T AH R
BAHAYEN	B AE HH EY AH N
BAHEERA	B AE HH AH R AH
BAHEN	B AE AH N
BAHIR	B AH HH IH R
BAHON	B AE HH AH N
BAHU	B AE HH UW
BAICHNAY	B EY K N EY IY
BAIG	B EY G
BAIGAM	B EY G AH M
BAIIS	B EY IY Z
BAIL	B EY L
BAILCHA	B EY L CH AH
BAILS	B EY L Z
BAINGEN	B EY N JH AH N
BAIROONI	B AE AH R UW N IY
BAIS	B EY Z
BAISAAKHI	B EY S AA K IY
BAITHTAY	B EY TH T EY IY
BAIZE	B EY Z
BAIZVI	B EY Z IY
BAJA	B AA HH AA
BAJANWARI	B AH JH AE N W AH R IY
BAJAYE	B AE JH EY
BAJEN	B EY JH AH N
BAJRA	B AE JH R AH
BAJUZ	B AE JH AH Z
BAJWA	B AE JH W AH
BAKAYA	B AE K EY AH
BAKHABAR	B AE K AH B AH R
BAKHAIR	B AE K AH AH R
BAKHER	B AE K AH R
BAKHERNAY	B AE K AH R N EY IY
BAKHIDMAT	B AE K IH D M AH T
BAKHOOBI	B AE K AH B IY
BAKHSH	B AE K
BAKHSHAY	B AE K EY IY
BAKHSHE	B AE K
BAKHSHEEN	B AE K IY AH N
BAKHSHI	B AE K IY
BAKHSHISH	B AE K AH SH
BAKHSHO	B AE K OW
BAKIR	B AE K AH R
BALDEATI	B AE L D AH T IY
BALGHAM	B AE L AH M
BALIGH	B AE L IY
BALIGHAAN	B AH L AY EY AH N
BALIGHON	B AE L AY AH N
BALKAY	B AE L K EY IY
BALKE	B EY L K
BALKEY	B IY AH L K IY
BALOCHI	B AE L AH CH IY
BALOCHON	B AE L AH CH AH N
BALOONGRE	B AH L UW N G AH R
BALOUCH	B AH L AW CH
BAN	B AE N
BANA	B AE N AH
BANAE	B AE N IY
BANAFSHI	B AH N AE F IY
BANAI	B AE N EY
BANANA	B AH N AE N AH
BANANE	B AH N EY N
BANAYA	B AE N EY AH
BANAYE	B AE N EY
BANAYEN	B AE N AH Y EH N
BANAYI	B AE N EY IY
BAND	B AE N D
BANDHEN	B AE N D HH EH N
BANDNE	B AE N D N
BANDOK	B AE N D AH K
BANDOOQ	B AE N D AH K
BANE	B EY N
BANEIN	B EY N IH N
BANEN	B EY N AH N
BANG	B AE NG
BANGALI	B AE N G AH L IY
BANGLA	B AE N G L AH
BANGLE	B AE NG G AH L
BANK	B AE NG K
BANO	B AE N OW
BANORI	B AE N AH R IY
BANSURI	B AE N S AH R IY
BAOHAR	B EY AH AH R
BAPHRAY	B AE F R EY IY
BAQAYA	B AE K EY AH
BAQIYA	B AH K IY AY AH
BAQOL	B AE K AH L
BAR	B AA R
BARA	B AA R AH
BARABAR	B EH R AH B AA R
BARAFBARI	B AH R AE F B AH R IY
BARAN	B AA R AA N
BARAS	B AE R AH Z
BARASNE	B AE R AH Z N
BARDAAR	B AA R D EY AH R
BARDASHT	B AA R D AH SH T
BARE	B EH R
BAREAZAM	B AH R IY Z AH M
BAREAZEEM	B AE R AH Z IY M
BAREESH	B AH R IY SH
BARH	B AA R
BARHA	B AA R AH
BARHAEIN	B AA R IY AH N
BARHAUN	B AA R AH N
BARHAWA	B AA R AH AH
BARHAYA	B AA R EY AH
BARHAYI	B AA R EY IY
BARHEN	B AA R HH EH N
BARHOTRI	B AH R AA T R IY
BARI	B AA R IY
BARKHILAF	B AA R K AH L AH F
BARON	B AE R AH N
BARON(2)	B EH R AH N
BARONQ	B AE R AH N K
BARORI	B AE R AH R IY
BAROZ	B AE R AH Z
BARQARAR	B AA R K AH R AH R
BARRA	B AA R AH
BARRAGE	B ER AA ZH
BARRI	B AE R IY
BARSARE	B AA R S AH R
BARSATA	B AA R S AH T AH
BARSON	B AA R S AH N
BARTAN	B AA R T AE N
BARTANWI	B AA R T AE N W IY
BARTFI	B AA R T IY
BARWAN	B AA R W AA N
BARWE	B AA R W
BARYAAT	B AE R AY AH T
BAS	B AE Z
BASA	B AA S AH
BASAR	B EY S ER
BASATH	B AE S AH TH
BASAYEN	B AE S EY AH N
BASEMENT	B EY S M AH N T
BASEN	B EY S AH N
BASHAASH	B AE SH AH SH
BASHAOOR	B AH SH EY OW AH R
BASHEER	B AH SH IH R
BASHINDON	B AH SH IH N D AH N
BASHMOOL	B AE SH M UW L
BASIC	B EY S IH K
BASIYAR	B EY S IY IY ER
BASSON	B EY S AO N
BATA	B AE T AH
BATAATEY	B AE T AH EY T IY
BATADREEJ	B AE T AH D R IY JH
BATAEIN	B AE T IY AH N
BATAIYE	B AE T EY AY
BATAKHON	B AH T AE K AH N
BATAO	B AE T EY OW
BATAOUN	B AE T EY AW N
BATATA	B AE T AH T AH
BATATI	B AE T AH T IY
BATAUN	B AE T AH N
BATAYA	B AE T EY AH
BATAYEN	B AE T AH Y EH N
BATEES	B EY T IY Z
BATHEIN	B EY DH IH N
BATHNE	B AE TH N
BATHOO	B AE TH UW
BATORTA	B AH T AO R T AH
BATTIIS	B AE T IY IY Z
BAUNDRY	B AO N D R IY
BAWAA	B AO AH
BAWAJOOD	B AO AH JH UW D
BAWAN	B AO AH N
BAWAQTE	B AO AH K T
BAWARCHI	B AO AA R K IY
BAYAAN	B EY EY AH N
BAYAN	B EY AH N
BAYANA	B EY AH N AH
BAYEIN	B EY IY N
BAYNH	B EY N
BAYYAN	B EY AY AH N
BAZAHIR	B AE Z AH HH AH R
BAZEECHA	B EY Z IY CH AH
BAZIYAB	B EY Z IY AY AH B
BAZOQ	B AE Z AH K
BAZOR	B EY Z AH R
BBUREAUCRACY	B Y UH R IY AH K R AH S IY
BCHU	B CH UW
BDHALI	B D HH AE L IY
BDLAH	B D L AE
BE	B IY
BEASAR	B AH EY Z AH R
BEBAAQ	B AH B AA K
BECAUSE	B IH K AO Z
BECAUSE(2)	B IH K AH Z
BECAUSE(3)	B IH K AA Z
BECHARE	B AH CH AE R
BECHEN	B EH CH AH N
BECHENI	B AH CH EH N IY
BECHEY	B EH CH IY
BED	B EH D
BEDAAR	B AH D EY AH R
BEDAARI	B AH D AA R IY
BEDROOM	B EH D R UW M
BEECH	B IY CH
BEECHO	B IH EH K OW
BEEF	B IY F
BEEJ	B AH EH JH
BEEJON	B AH EH JH AH N
BEEKH	B AH EH K
BEES	B IY Z
BEESWIEN	B AH EH S W IY AH N
BEEWIYON	B IH Y UW IY IY AO N
BEFORE	B IH F AO R
BEFORE(2)	B IY F AO R
BEGUM	B IH G AH M
BEHAD	B AH HH AE D
BEHAJ	B AH HH AE JH
BEHAN	B EH HH AH N
BEHAR	B EH HH ER
BEHAS	B AH HH AE Z
BEHASTA	B AH HH AE S T AH
BEHBOOD	B IH HH B UW D
BEHNOI	B IH HH N OY
BEHOODA	B AH HH UW D AH
BEHOSH	B AH HH AA SH
BEHSE	B IH HH S IY
BEHSON	B IH HH S AA N
BEHT	B EH T
BEHTAR	B EH T AH R
BEHTAREEN	B IH HH T AE R IY AH N
BEHTARI	B IH HH T AE R IY
BEIZZATI	B AH IH Z AH T IY
BEJE	B AH JH IY
BEJU	B AH JH UW
BEKASON	B AH K AE S AH N
BELCHE	B IH L CH IY
BELON	B EH L AO N
BELT	B EH L T
BEMAARI	B AH M AA R IY
BENAAT	B AH N AA T
BENCH	B EH N CH
BEOPAR	B AH OW P AH R
BERA	B EH R AH
BEREY	B IY R IY
BERRIYAN	B IH R AY AY AH N
BESAN	B Z AE N
BESHTAR	B EH SH T AH R
BEST	B EH S T
